timestamp,machine_id,operator_id,machine_type,engine_hours,fuel_used,load_cycles,idling_time,seatbelt_status,safety_alert_triggered,task_type,terrain,temperature,operator_experience,task_completion_time
2025-05-15 08:00:00,EXC001,OP1001,Excavator,1523.5,5.2,12,15,Fastened,No,Excavation,Hard Clay,28,5,42
2025-05-15 10:00:00,EXC001,OP1001,Excavator,1524.8,3.8,2,55,Unfastened,Yes,Excavation,Hard Clay,30,5,58
2025-05-15 14:00:00,EXC001,OP1001,Excavator,1530.2,14.5,1,65,Unfastened,Yes,Excavation,Rocky,34,5,75
2025-05-01 16:00:00,EXC001,OP1011,Excavator,2104.7,8.6,20,5,Fastened,No,Loading,Hard Clay,29,11,42
2025-05-01 16:00:00,EXC002,OP1003,Excavator,1379.5,8.5,14,27,Fastened,No,Trenching,Soft Mud,17,1,71
2025-05-01 16:00:00,BKH001,OP1002,Backhoe,1681.7,7.3,11,28,Fastened,No,Loading,Soft Mud,32,2,38
2025-05-01 16:00:00,TRK001,OP1005,Haul Truck,1328.8,5.4,10,28,Fastened,No,Material Hauling,Soft Mud,27,5,48
2025-05-01 16:00:00,WLD001,OP1011,Wheel Loader,1497.8,6.6,9,29,Fastened,No,Material Hauling,Paved,38,11,37
2025-05-01 16:00:00,CRN001,OP1011,Crane,1756.1,6.2,12,9,Fastened,No,Excavation,Hard Clay,16,11,51
2025-05-01 16:00:00,EXC003,OP1004,Excavator,1325.5,7.6,10,40,Fastened,No,Loading,Gravel,19,12,38
2025-05-01 16:00:00,TRK002,OP1007,Haul Truck,1480.3,2.8,4,12,Fastened,No,Material Hauling,Paved,30,4,42
2025-05-01 18:00:00,EXC001,OP1002,Excavator,2106.0,4.8,10,5,Fastened,No,Site Grading,Gravel,31,2,58
2025-05-01 18:00:00,EXC002,OP1011,Excavator,1380.8,15.0,16,73,Unfastened,Yes,Trenching,Gravel,20,11,67
2025-05-01 18:00:00,BKH001,OP1003,Backhoe,1683.2,7.0,18,14,Unfastened,Yes,Excavation,Rocky,35,1,64
2025-05-01 18:00:00,TRK001,OP1001,Haul Truck,1330.4,5.9,13,24,Fastened,No,Loading,Soft Mud,18,11,33
2025-05-01 18:00:00,WLD001,OP1002,Wheel Loader,1499.6,5.5,6,40,Fastened,No,Excavation,Paved,19,2,49
2025-05-01 18:00:00,CRN001,OP1009,Crane,1757.9,12.3,23,33,Fastened,No,Material Hauling,Rocky,27,12,45
2025-05-01 18:00:00,EXC003,OP1006,Excavator,1326.6,13.0,9,72,Unfastened,Yes,Site Grading,Hard Clay,33,4,52
2025-05-01 18:00:00,TRK002,OP1006,Haul Truck,1481.4,9.3,17,13,Fastened,No,Material Hauling,Rocky,36,4,47
2025-05-01 20:00:00,EXC001,OP1008,Excavator,2107.9,10.8,23,32,Fastened,No,Material Hauling,Soft Mud,18,3,59
2025-05-01 20:00:00,EXC002,OP1011,Excavator,1381.9,6.4,9,39,Fastened,No,Loading,Rocky,18,11,32
2025-05-01 20:00:00,BKH001,OP1002,Backhoe,1684.7,11.8,22,5,Fastened,No,Site Grading,Soft Mud,16,2,66
2025-05-01 20:00:00,TRK001,OP1007,Haul Truck,1331.9,5.8,7,29,Fastened,No,Material Hauling,Gravel,16,4,42
2025-05-01 20:00:00,WLD001,OP1012,Wheel Loader,1501.5,5.0,8,8,Fastened,No,Site Grading,Gravel,19,12,47
2025-05-01 20:00:00,CRN001,OP1001,Crane,1759.5,2.7,3,10,Fastened,No,Site Grading,Paved,20,11,47
2025-05-01 20:00:00,EXC003,OP1007,Excavator,1327.7,11.4,21,52,Unfastened,Yes,Site Grading,Hard Clay,33,4,70
2025-05-01 20:00:00,TRK002,OP1006,Haul Truck,1483.3,7.0,10,24,Unfastened,Yes,Material Hauling,Rocky,22,4,38
2025-05-01 22:00:00,EXC001,OP1008,Excavator,2109.5,7.1,19,21,Fastened,No,Site Grading,Soft Mud,17,3,64
2025-05-01 22:00:00,EXC002,OP1006,Excavator,1383.2,6.8,11,38,Fastened,No,Loading,Paved,37,4,44
2025-05-01 22:00:00,BKH001,OP1002,Backhoe,1686.6,4.2,5,14,Fastened,No,Material Hauling,Rocky,18,2,38
2025-05-01 22:00:00,TRK001,OP1011,Haul Truck,1333.5,4.4,10,8,Fastened,No,Trenching,Paved,30,11,55
2025-05-01 22:00:00,WLD001,OP1006,Wheel Loader,1503.3,7.8,16,32,Unfastened,Yes,Trenching,Hard Clay,38,4,65
2025-05-01 22:00:00,CRN001,OP1009,Crane,1760.5,4.7,6,7,Fastened,No,Trenching,Paved,32,12,51
2025-05-01 22:00:00,EXC003,OP1006,Excavator,1328.9,11.5,19,31,Unfastened,Yes,Material Hauling,Soft Mud,26,4,48
2025-05-01 22:00:00,TRK002,OP1003,Haul Truck,1485.3,5.6,7,26,Fastened,No,Material Hauling,Gravel,15,1,40
2025-05-02 00:00:00,EXC001,OP1005,Excavator,2110.6,8.9,17,34,Fastened,No,Excavation,Gravel,16,5,56
2025-05-02 00:00:00,EXC002,OP1001,Excavator,1384.8,4.2,4,22,Fastened,No,Loading,Rocky,23,11,33
